dataset,fold,method,train_accuracy,test_accuracy,gap,f1,train_time
synthetic_highdim,2,XGB_default,1.0,0.81,0.19,0.8084,0.0925
synthetic_highdim,2,XGB_tuned,1.0,0.77,0.23,0.7689,0.0704
synthetic_highdim,2,RF_default,1.0,0.79,0.21,0.7895,0.1625
synthetic_highdim,2,AdaPrune_gap,0.9475,0.7,0.2475,0.7,0.9739
synthetic_highdim,2,AdaPrune_trend,0.9575,0.72,0.2375,0.7199,1.3578
synthetic_highdim,2,AdaPrune_data,0.965,0.7,0.265,0.6995,1.0004
synthetic_highdim,2,AdaPrune_hybrid,0.95,0.69,0.26,0.6897,0.9853
synthetic_highdim,3,XGB_default,1.0,0.8,0.2,0.7998,0.1066
synthetic_highdim,3,XGB_tuned,1.0,0.83,0.17,0.83,0.0706
synthetic_highdim,3,RF_default,1.0,0.87,0.13,0.87,0.1672
synthetic_highdim,3,AdaPrune_gap,0.9525,0.79,0.1625,0.7897,1.0231
synthetic_highdim,3,AdaPrune_trend,0.955,0.79,0.165,0.79,1.3422
synthetic_highdim,3,AdaPrune_data,0.9475,0.8,0.1475,0.8,0.9983
synthetic_highdim,3,AdaPrune_hybrid,0.9475,0.8,0.1475,0.8,0.9542
synthetic_highdim,4,XGB_default,1.0,0.74,0.26,0.7394,0.1
synthetic_highdim,4,XGB_tuned,1.0,0.74,0.26,0.7394,0.0753
synthetic_highdim,4,RF_default,1.0,0.74,0.26,0.7387,0.1632
synthetic_highdim,4,AdaPrune_gap,0.9375,0.72,0.2175,0.7177,0.9948
synthetic_highdim,4,AdaPrune_trend,0.9375,0.73,0.2075,0.7283,1.4372
synthetic_highdim,4,AdaPrune_data,0.945,0.74,0.205,0.7387,1.0244
synthetic_highdim,4,AdaPrune_hybrid,0.9425,0.73,0.2125,0.7283,0.9938
