dataset,fold,method,accuracy,f1,roc_auc,train_time
diabetes,2,AdaPrune_hybrid,0.7532467532467533,0.6274509803921569,0.8007407407407409,0.31831860542297363
diabetes,3,RF_default,0.738562091503268,0.5918367346938775,0.8011320754716982,0.14412832260131836
diabetes,3,XGB_default,0.7450980392156863,0.6422018348623854,0.7945283018867925,0.05615425109863281
diabetes,3,XGB_tuned,0.7647058823529411,0.6538461538461539,0.7913207547169812,0.04631781578063965
diabetes,3,LGBM_default,0.7516339869281046,0.6481481481481481,0.7832075471698114,0.0458981990814209
diabetes,3,AdaPrune_gap,0.7516339869281046,0.6346153846153846,0.8015094339622642,0.3833656311035156
diabetes,3,AdaPrune_trend,0.7450980392156863,0.6060606060606061,0.8026415094339623,0.3093373775482178
diabetes,3,AdaPrune_data,0.7647058823529411,0.6470588235294118,0.8083018867924529,0.3205301761627197
diabetes,3,AdaPrune_hybrid,0.7516339869281046,0.6346153846153846,0.8015094339622642,0.32391786575317383
diabetes,4,RF_default,0.7712418300653595,0.6601941747572816,0.7972641509433962,0.11411571502685547
diabetes,4,XGB_default,0.7124183006535948,0.5416666666666666,0.7420754716981132,0.044547080993652344
diabetes,4,XGB_tuned,0.7058823529411765,0.5360824742268041,0.7503773584905661,0.03299283981323242
diabetes,4,LGBM_default,0.6928104575163399,0.5346534653465347,0.7609433962264152,0.04243826866149902
diabetes,4,AdaPrune_gap,0.7320261437908496,0.6306306306306306,0.7888679245283019,0.3599879741668701
diabetes,4,AdaPrune_trend,0.738562091503268,0.6363636363636364,0.7881132075471698,0.30848002433776855
diabetes,4,AdaPrune_data,0.7516339869281046,0.6481481481481481,0.789433962264151,0.3302481174468994
diabetes,4,AdaPrune_hybrid,0.7320261437908496,0.6306306306306306,0.7888679245283019,0.3231065273284912
eeg-eye-state,0,RF_default,0.9365821094793058,0.9274809160305344,0.9841793046667819,0.23990082740783691
eeg-eye-state,0,XGB_default,0.9339118825100133,0.9253393665158371,0.9827567414677736,0.08941292762756348
eeg-eye-state,0,XGB_tuned,0.8981975967957276,0.8842504743833017,0.9636808378012222,0.08326911926269531
eeg-eye-state,0,LGBM_default,0.9102136181575434,0.8984522461306154,0.9704015875417964,0.06819295883178711
eeg-eye-state,0,AdaPrune_gap,0.8881842456608812,0.8724781119147317,0.9613680747722818,7.574140787124634
eeg-eye-state,0,AdaPrune_trend,0.8881842456608812,0.8724781119147317,0.9613680747722818,7.50941801071167
eeg-eye-state,0,AdaPrune_data,0.8881842456608812,0.8724781119147317,0.9613680747722818,7.538272380828857
eeg-eye-state,0,AdaPrune_hybrid,0.8881842456608812,0.8724781119147317,0.9613680747722818,7.549963474273682
eeg-eye-state,1,RF_default,0.9259012016021362,0.9151376146788991,0.9833586904041277,0.18739867210388184
eeg-eye-state,1,XGB_default,0.9355807743658211,0.9273616861121565,0.9825959515161997,0.07463288307189941
eeg-eye-state,1,XGB_tuned,0.8948598130841121,0.8787061994609164,0.9623837087801221,0.07602286338806152
eeg-eye-state,1,LGBM_default,0.914218958611482,0.9020205871139916,0.9716356616799263,0.06593608856201172
eeg-eye-state,1,AdaPrune_gap,0.8958611481975968,0.8803680981595092,0.9588967737518738,7.592767238616943
eeg-eye-state,1,AdaPrune_trend,0.8958611481975968,0.8803680981595092,0.9588967737518738,7.63509726524353
eeg-eye-state,1,AdaPrune_data,0.8958611481975968,0.8803680981595092,0.9588967737518738,7.5005176067352295
eeg-eye-state,1,AdaPrune_hybrid,0.8958611481975968,0.8803680981595092,0.9588967737518738,7.635009527206421
eeg-eye-state,2,RF_default,0.9289052069425902,0.918733307897749,0.9810607067024828,0.1906125545501709
eeg-eye-state,2,XGB_default,0.9332443257676902,0.9246987951807228,0.9831315480760787,0.06980562210083008
eeg-eye-state,2,XGB_tuned,0.8985313751668892,0.8845861807137434,0.9655430188755716,0.06085968017578125
eeg-eye-state,2,LGBM_default,0.9092122830440588,0.8968133535660091,0.9714126168887167,0.0710291862487793
eeg-eye-state,2,AdaPrune_gap,0.8875166889185581,0.8707326428845417,0.9604277232003136,7.611042261123657
eeg-eye-state,2,AdaPrune_trend,0.8875166889185581,0.8707326428845417,0.9604277232003136,7.672625303268433
eeg-eye-state,2,AdaPrune_data,0.8875166889185581,0.8711281070745698,0.957562725305605,7.490278482437134
eeg-eye-state,2,AdaPrune_hybrid,0.8875166889185581,0.8711281070745698,0.957562725305605,7.631728410720825
eeg-eye-state,3,RF_default,0.9202269692923899,0.908952380952381,0.9790173354438787,0.2029860019683838
eeg-eye-state,3,XGB_default,0.9269025367156208,0.917451941198643,0.9815162152486158,0.07274556159973145
eeg-eye-state,3,XGB_tuned,0.8798397863818425,0.8625954198473282,0.9532242484559318,0.0646817684173584
eeg-eye-state,3,LGBM_default,0.8895193591455274,0.874000761324705,0.960577683008383,0.06389927864074707
eeg-eye-state,3,AdaPrune_gap,0.8785046728971962,0.8606431852986217,0.9523019731198171,7.64923882484436
eeg-eye-state,3,AdaPrune_trend,0.8785046728971962,0.8606431852986217,0.9523019731198171,7.493844747543335
eeg-eye-state,3,AdaPrune_data,0.8785046728971962,0.8606431852986217,0.9523019731198171,7.4831366539001465
eeg-eye-state,3,AdaPrune_hybrid,0.8785046728971962,0.8606431852986217,0.9523019731198171,7.6274733543396
eeg-eye-state,4,RF_default,0.9332443257676902,0.9240121580547113,0.9840232009889243,0.2054002285003662
