dataset,fold,method,accuracy,train_accuracy,gap,f1,roc_auc,train_time
credit-default,4,RF_default,0.8133333333333334,0.9995,0.1861666666666667,0.7929774607113317,0.7616781036695113,0.3319375514984131
credit-default,4,XGB_default,0.812,0.8894583333333334,0.0774583333333333,0.793681285038141,0.7611136044080127,0.10515689849853516
credit-default,4,XGB_tuned,0.8156666666666667,0.8472083333333333,0.03154166666666669,0.7961346507692312,0.7733772924064246,0.0875706672668457
credit-default,4,LGBM_default,0.8183333333333334,0.844375,0.02604166666666663,0.7987106428484232,0.7763117854964087,0.09674978256225586
credit-default,4,AdaPrune_gap,0.8146666666666667,0.84375,0.02908333333333335,0.7939729098861109,0.7708562762787268,28.934844732284546
credit-default,4,AdaPrune_trend,0.8146666666666667,0.84375,0.02908333333333335,0.7939729098861109,0.7708562762787268,28.561382293701172
credit-default,4,AdaPrune_data,0.8146666666666667,0.84375,0.02908333333333335,0.7939729098861109,0.7708562762787268,28.55045199394226
credit-default,4,AdaPrune_hybrid,0.8146666666666667,0.84375,0.02908333333333335,0.7939729098861109,0.7708562762787268,29.307988166809082
credit-g,0,RF_default,0.775,1.0,0.22499999999999998,0.752232846485237,0.8122619047619047,0.09196043014526367
credit-g,0,XGB_default,0.775,1.0,0.22499999999999998,0.7678993663104134,0.7832142857142858,0.04501748085021973
credit-g,0,XGB_tuned,0.755,0.9725,0.21750000000000003,0.7455519760135243,0.7836904761904762,0.03898262977600098
credit-g,0,LGBM_default,0.76,1.0,0.24,0.7515981735159818,0.7727380952380952,0.05353808403015137
credit-g,0,AdaPrune_gap,0.765,0.9,0.135,0.7503625947879068,0.787142857142857,0.39646363258361816
credit-g,0,AdaPrune_trend,0.765,0.9,0.135,0.7503625947879068,0.7880952380952381,0.482250452041626
credit-g,0,AdaPrune_data,0.735,0.86625,0.13124999999999998,0.7136402300023816,0.7833333333333333,0.46811389923095703
credit-g,0,AdaPrune_hybrid,0.74,0.88625,0.14625,0.7226666666666667,0.7760714285714286,0.4428293704986572
credit-g,1,RF_default,0.77,1.0,0.22999999999999998,0.7566521910777735,0.76375,0.08739924430847168
credit-g,1,XGB_default,0.75,1.0,0.25,0.7394429469901168,0.7670238095238094,0.03853631019592285
credit-g,1,XGB_tuned,0.745,0.97125,0.22624999999999995,0.7351663423814232,0.753452380952381,0.029019832611083984
credit-g,1,LGBM_default,0.755,1.0,0.245,0.7455519760135243,0.7514285714285714,0.047539710998535156
credit-g,1,AdaPrune_gap,0.735,0.8925,0.15749999999999997,0.7247807087493221,0.7551190476190476,0.49314141273498535
credit-g,1,AdaPrune_trend,0.735,0.8925,0.15749999999999997,0.7247807087493221,0.7535714285714286,0.4420163631439209
