dataset,fold,method,accuracy,f1,auc,train_time
synthetic_hard,1,AdaPrune_trend,0.95,0.95,,5.508195161819458
synthetic_hard,1,AdaPrune_dataaware,0.9516666666666667,0.9516665324070346,,5.557953596115112
synthetic_hard,1,XGB_default,0.8933333333333333,0.8933333333333333,,0.1574859619140625
synthetic_hard,1,XGB_tuned,0.8716666666666667,0.8716577540106952,,0.11897420883178711
synthetic_hard,1,LGBM_default,0.8983333333333333,0.8983330509251414,,0.08661413192749023
synthetic_hard,1,RF_default,0.8666666666666667,0.8665940345299108,,1.030412197113037
synthetic_hard,1,RF_tuned,0.86,0.8599237362564064,,0.877676248550415
synthetic_hard,2,AdaPrune_hybrid,0.9866666666666667,0.9866660740477353,,5.47367787361145
synthetic_hard,2,AdaPrune_gap,0.9433333333333334,0.9433308147028757,,1.0771875381469727
synthetic_hard,2,AdaPrune_trend,0.9733333333333334,0.9733321480954711,,5.553185701370239
synthetic_hard,2,AdaPrune_dataaware,0.9716666666666667,0.9716665879627444,,5.4977028369903564
synthetic_hard,2,XGB_default,0.895,0.8949857063878138,,0.13492465019226074
synthetic_hard,2,XGB_tuned,0.885,0.8849741191768146,,0.10601639747619629
synthetic_hard,2,LGBM_default,0.8933333333333333,0.8933226655998935,,0.08159136772155762
synthetic_hard,2,RF_default,0.845,0.844989235363567,,1.0221364498138428
synthetic_hard,2,RF_tuned,0.8516666666666667,0.8516629582406227,,0.893049955368042
synthetic_hard,3,AdaPrune_hybrid,0.9816666666666667,0.9816662083218747,,5.845910310745239
synthetic_hard,3,AdaPrune_gap,0.9166666666666666,0.9166212715811942,,1.158689260482788
synthetic_hard,3,AdaPrune_trend,0.9766666666666667,0.9766656295835371,,5.864948749542236
synthetic_hard,3,AdaPrune_dataaware,0.98,0.9799991110716032,,5.87338924407959
synthetic_hard,3,XGB_default,0.8733333333333333,0.8731924360400444,,0.20752811431884766
synthetic_hard,3,XGB_tuned,0.875,0.8748995721565367,,0.15218377113342285
synthetic_hard,3,LGBM_default,0.8733333333333333,0.8731628077748974,,0.10739731788635254
synthetic_hard,3,RF_default,0.8783333333333333,0.8781841088666951,,1.0839505195617676
synthetic_hard,3,RF_tuned,0.86,0.8596006418256373,,0.9133124351501465
synthetic_hard,4,AdaPrune_hybrid,0.9866666666666667,0.9866665185168724,,5.943549633026123
synthetic_hard,4,AdaPrune_gap,0.9133333333333333,0.9133179231863443,,1.1436467170715332
synthetic_hard,4,AdaPrune_trend,0.9933333333333333,0.9933332592584361,,5.821695566177368
synthetic_hard,4,AdaPrune_dataaware,0.9883333333333333,0.9883333009258359,,5.798623561859131
synthetic_hard,4,XGB_default,0.8633333333333333,0.8633272589892884,,0.14714407920837402
synthetic_hard,4,XGB_tuned,0.8583333333333333,0.8582667974688117,,0.11469745635986328
synthetic_hard,4,LGBM_default,0.8566666666666667,0.856588587119654,,0.1020970344543457
synthetic_hard,4,RF_default,0.84,0.8399128414358928,,1.0593056678771973
synthetic_hard,4,RF_tuned,0.8383333333333334,0.8382034466557875,,0.8960881233215332
